"234351","-0.04","-0.53","0.85","-0.20","0.49","-0.24"
"234351","-0.05","-0.53","0.84","-0.23","0.47","-0.21"
"234351","-0.05","-0.54","0.84","-0.30","0.40","-0.18"
"234351","-0.05","-0.54","0.84","-0.36","0.33","-0.14"
"234351","-0.05","-0.54","0.84","-0.36","0.21","-0.09"
"234351","-0.05","-0.54","0.84","-0.29","0.07","-0.04"
"234351","-0.05","-0.55","0.84","-0.19","-0.04","0.01"
"234351","-0.05","-0.55","0.84","-0.12","-0.11","0.04"
"234351","-0.05","-0.55","0.84","-0.08","-0.13","0.05"
"234351","-0.05","-0.55","0.83","-0.09","-0.15","0.06"
"234351","-0.05","-0.55","0.83","-0.14","-0.24","0.08"
"234351","-0.05","-0.55","0.83","-0.22","-0.34","0.11"
"234351","-0.05","-0.55","0.83","-0.24","-0.37","0.13"
"234351","-0.04","-0.55","0.83","-0.33","-0.41","0.17"
"234351","-0.04","-0.56","0.83","-0.46","-0.48","0.18"
"234351","-0.04","-0.56","0.83","-0.51","-0.62","0.18"
"234351","-0.03","-0.57","0.82","-0.55","-0.80","0.21"
"234351","-0.03","-0.57","0.82","-0.59","-0.93","0.23"
"234351","-0.02","-0.58","0.82","-0.67","-1.06","0.28"
"234351","-0.01","-0.58","0.81","-0.73","-1.10","0.30"
"234351","-0.01","-0.59","0.81","-0.81","-1.17","0.34"
"234351","0.00","-0.59","0.80","-0.87","-1.17","0.33"
"234352","0.01","-0.60","0.80","-1.00","-1.12","0.35"
"234352","0.01","-0.61","0.79","-1.16","-1.09","0.35"
"234352","0.02","-0.62","0.78","-1.22","-1.02","0.36"
"234352","0.03","-0.63","0.78","-1.43","-1.14","0.39"
"234352","0.03","-0.64","0.77","-1.51","-1.22","0.34"
"234352","0.04","-0.65","0.76","-1.65","-1.29","0.35"
"234352","0.05","-0.67","0.74","-1.75","-1.23","0.34"
"234352","0.05","-0.68","0.73","-1.69","-1.02","0.30"
"234352","0.06","-0.69","0.72","-1.47","-0.71","0.22"
"234352","0.06","-0.70","0.71","-1.17","-0.49","0.17"
"234352","0.06","-0.70","0.71","-0.78","-0.31","0.13"
"234352","0.06","-0.71","0.70","-0.45","-0.07","0.12"
"234352","0.06","-0.71","0.70","-0.22","0.18","0.12"
"234352","0.06","-0.71","0.70","-0.08","0.36","0.09"
"234352","0.05","-0.71","0.70","0.01","0.42","0.05"
